title,seed,wall,output,returncode,stdout,stderr
macro policy,0,0,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_nowall_seed0.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_nowall_seed0.mp4 seed=0 wall=0 steps=608 total=1516.0,
macro policy,5,0,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_nowall_seed5.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_nowall_seed5.mp4 seed=5 wall=0 steps=235 total=-509.0,
macro policy,6,0,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_nowall_seed6.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_nowall_seed6.mp4 seed=6 wall=0 steps=161 total=1963.0,
macro policy,5,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed5.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed5.mp4 seed=5 wall=1 steps=93 total=2038.0,
macro policy,6,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed6.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed6.mp4 seed=6 wall=1 steps=54 total=2071.0,
macro policy,9,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed9.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed9.mp4 seed=9 wall=1 steps=92 total=2040.0,
macro policy,100,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed100.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/macro_policy/macro_wall_seed100.mp4 seed=100 wall=1 steps=2000 total=-1975.0,
router policy,5,0,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/router_policy/router_nowall_seed5.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/router_policy/router_nowall_seed5.mp4 seed=5 wall=0 steps=2000 total=-1869.0,
router policy,7,0,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/router_policy/router_nowall_seed7.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/router_policy/router_nowall_seed7.mp4 seed=7 wall=0 steps=267 total=1865.0,
router policy,7,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/router_policy/router_wall_seed7.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/router_policy/router_wall_seed7.mp4 seed=7 wall=1 steps=2000 total=-1869.0,
switch policy,5,0,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_nowall_seed5.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_nowall_seed5.mp4 seed=5 wall=0 steps=127 total=1998.0,
switch policy,8,0,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_nowall_seed8.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_nowall_seed8.mp4 seed=8 wall=0 steps=117 total=2006.0,
switch policy,5,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_wall_seed5.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_wall_seed5.mp4 seed=5 wall=1 steps=138 total=-4018.0,
switch policy,6,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_wall_seed6.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_wall_seed6.mp4 seed=6 wall=1 steps=54 total=2071.0,
switch policy,7,1,/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_wall_seed7.mp4,0,saved=/home/rycker/study/CS780 RL/CS780-OBELIX/final_results/videos:/switch_policy/switch_wall_seed7.mp4 seed=7 wall=1 steps=112 total=218.0,
